movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits,image_url,userRating,link
20187959,8,73851,원더랜드,Wonder Park,20190814.0,애니메이션,코미디,어드벤처,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168086_P01_105302.jpg,8.4,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168086
20183867,10,12501428,알라딘,Aladdin,20190523.0,어드벤처,가족,판타지,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163788_P18_105943.jpg,9.38,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163788
20193275,5,274064,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,20190807.0,기타,가족,판타지,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1870/187051_P06_111618.jpg,9.14,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187051
20175771,7,4684247,라이온 킹,The Lion King,20190717.0,어드벤처,드라마,가족,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1696/169637_P24_102228.jpg,8.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169637
20191741,9,134529,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,20190807.0,애니메이션,액션,가족,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1675/167599_P27_175118.jpg,8.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167599
20190741,10,29397,김복동,My Name Is KIM Bok-dong,20190808.0,다큐멘터리,액션,가족,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1851/185131_P16_144239.jpg,8.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185131
20182490,7,930998,나랏말싸미,The King's Letters,20190724.0,사극,액션,가족,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173668_P65_112539.jpg,3.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173668
20196309,8,7996657,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,20190702.0,액션,어드벤처,코미디,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P06_135928.jpg,8.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123
20192725,9,214485,명탐정 코난: 감청의 권,Detective Conan: The Fist of Blue Sapphire,20190724.0,애니메이션,어드벤처,코미디,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182001_P11_173153.jpg,4.9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182001
20190002,10,184741,롱 샷,LONG SHOT,20190724.0,코미디,어드벤처,코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168092_P33_140246.jpg,7.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168092
20184047,8,3355808,토이 스토리 4,Toy Story 4,20190620.0,애니메이션,어드벤처,코미디,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101966_P09_114632.jpg,9.05,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966
20183782,9,10041845,기생충,PARASITE,20190530.0,드라마,어드벤처,코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161967_P80_151640.jpg,8.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967
20185353,6,278008,기방도령,HOMME FATALE,20190710.0,코미디,사극,코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180209_P42_134851.jpg,5.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180209
20185986,7,157393,진범,The Culprit,20190710.0,스릴러,사극,코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174834_P53_105510.jpg,6.38,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174834
20192222,8,43202,사일런스,The Silence,20190717.0,공포(호러),스릴러,코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1799/179973_P08_102347.jpg,5.45,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179973
20191601,9,127100,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,20190711.0,애니메이션,스릴러,코미디,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1837/183783_P16_105340.jpg,3.9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183783
20192151,10,69036,미드소마,Midsommar,20190711.0,공포(호러),스릴러,코미디,청소년관람불가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182014_P36_101012.jpg,6.59,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182014
